feature,latent_dim,full_weight,mean_boot_weight,p_unc,p_fdr,fdr_significant,final_significant,thresholded_weight,sign
feature_134,0,0.03306745373727061,0.03416777514992747,0.14077184563087383,0.33764793433065965,False,False,0.0,zero
feature_135,0,-0.19456023856561588,-0.20596420422717232,0.0003999200159968006,0.005798840231953609,True,True,-0.19456023856561588,negative
feature_136,0,-0.021244457963642514,-0.021360295460569854,0.4251149770045991,0.6446502907210766,False,False,0.0,zero
feature_137,0,0.049704055382532863,0.04899203079734998,0.07918416316736653,0.21869911731939323,False,False,0.0,zero
feature_138,0,0.007976878934553037,0.006438941870110372,0.8110377924415118,0.9089892166494238,False,False,0.0,zero
feature_139,0,-0.05498979983053065,-0.05570213639143319,0.03199360127974405,0.1318473147475768,False,False,0.0,zero
feature_140,0,-0.009475063404209786,-0.009972032902303741,0.6930613877224555,0.8288156801629365,False,False,0.0,zero
feature_141,0,-0.1036026750074968,-0.10600152520490806,0.0003999200159968006,0.005798840231953609,True,True,-0.1036026750074968,negative
feature_142,0,-0.05036909988467591,-0.05311013760137355,0.0615876824635073,0.1905112310871159,False,False,0.0,zero
feature_143,0,-0.026214653224731075,-0.023665113358013898,0.3767246550689862,0.6294453339547917,False,False,0.0,zero
feature_144,0,0.047902542795122086,0.053267304328039645,0.05038992201559688,0.17712821072149207,False,False,0.0,zero
feature_145,0,-0.02079621708070474,-0.02123151152113892,0.4487102579484103,0.6635634898336789,False,False,0.0,zero
feature_146,0,0.0320058263865545,0.03187816291259663,0.21275744851029793,0.4292150265599054,False,False,0.0,zero
feature_147,0,-0.0286858653754435,-0.030296505649335836,0.23035392921415718,0.4528992506583429,False,False,0.0,zero
feature_148,0,-0.02113060909356769,-0.02067834512603805,0.4279144171165767,0.6446502907210766,False,False,0.0,zero
feature_149,0,0.005290623095480027,0.005608056605678081,0.8342331533693261,0.9103906918146888,False,False,0.0,zero
feature_150,0,-0.00024097873242655588,0.001468898967535133,0.971005798840232,0.9794493275257992,False,False,0.0,zero
feature_151,0,0.007570877281217149,0.010947570891576434,0.7306538692261547,0.8501903579680105,False,False,0.0,zero
feature_152,0,0.03624503786984724,0.03720832103821704,0.1975604879024195,0.41956918350843103,False,False,0.0,zero
feature_153,0,-0.05035875033565668,-0.05097086820690476,0.05038992201559688,0.17712821072149207,False,False,0.0,zero
feature_154,0,-0.012564771055821449,-0.015223670561252456,0.5778844231153769,0.775424803307495,False,False,0.0,zero
feature_155,0,0.001390450227381778,-0.003524926800068825,0.9062187562487503,0.9385837118290628,False,False,0.0,zero
feature_156,0,0.013063373322265651,0.013937303836310906,0.6202759448110378,0.7774108336227492,False,False,0.0,zero
feature_157,0,-0.03156986462207773,-0.03354000844472747,0.20435912817436513,0.41956918350843103,False,False,0.0,zero
feature_158,0,-0.04668039819022995,-0.04860450250107653,0.14077184563087383,0.33764793433065965,False,False,0.0,zero
feature_159,0,0.014823835448617454,0.015219129720286282,0.5930813837232554,0.775424803307495,False,False,0.0,zero
feature_160,0,0.006602483071631272,0.007375591734558977,0.7946410717856429,0.8949355759915978,False,False,0.0,zero
feature_161,0,0.07558009923320655,0.07849969433925401,0.021595680863827234,0.10020395920815836,False,False,0.0,zero
feature_162,0,-0.059324270102666755,-0.06576412422249232,0.019596080783843232,0.09672959025216234,False,False,0.0,zero
