"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"age_moderation","8_to_19",8,19,"ACME_at_age1",0.0159109259687216,0.0270967624288824,-0.0505474555111983,0.0664518047363437,0.714,1000
"age_moderation","8_to_19",8,19,"ACME_avg",0.0159096061834147,0.0248108409462006,-0.0440697044105786,0.0547728168535024,0.76,1000
"age_moderation","8_to_19",8,19,"ADE_Ma0",0.319014247453512,0.339777679271669,0.0110472315921679,1.34614077853106,0.034,1000
"age_moderation","8_to_19",8,19,"ADE_Ma1",0.319016887024126,0.338833503085878,0.0016433792012527,1.35379273766857,0.038,1000
"age_moderation","8_to_19",8,19,"ADE_avg",0.319015567238819,0.339073373693967,0.00422729128913206,1.34996675809981,0.036,1000
"age_moderation","8_to_19",8,19,"Total_effect",0.334925173422234,0.337726813021474,0.018675779614775,1.33880850412639,0.04,1000
"age_moderation","8_to_19",8,19,"Prop_med_avg",0.0475019719206289,0.48383195119344,-0.207852610061999,0.345592903999507,0.74,1000
"age_moderation","8_to_11",8,11,"ACME_at_age0",0.0153352246564364,0.0266540217620436,-0.036660714486724,0.0636169213870992,0.804,1000
"age_moderation","8_to_11",8,11,"ACME_at_age1",0.0153382471899448,0.0254389470464681,-0.0293928154060887,0.0738425131162457,0.68,1000
"age_moderation","8_to_11",8,11,"ACME_avg",0.0153367359231906,0.0216439397774989,-0.0260366687765448,0.0630464989982826,0.702,1000
"age_moderation","8_to_11",8,11,"ADE_Ma0",0.0867823140742696,0.314075378611073,-0.190926234385952,1.06494412517127,0.408,1000
"age_moderation","8_to_11",8,11,"ADE_Ma1",0.086785336607778,0.314158225967428,-0.174540482479508,1.06540900927792,0.38,1000
"age_moderation","8_to_11",8,11,"ADE_avg",0.0867838253410238,0.313781833244015,-0.183038286465346,1.0651765672246,0.39,1000
"age_moderation","8_to_11",8,11,"Total_effect",0.102120561264214,0.313695728753358,-0.178921645513904,1.05964890097362,0.348,1000
"age_moderation","8_to_11",8,11,"Prop_med_avg",0.150182644252319,6.34744758793515,-1.26084729414612,1.19658070301302,0.746,1000
"age_moderation","11_to_19",11,19,"ACME_at_age0",0.000573174690673605,0.0150149306378011,-0.034878353594326,0.0286048733598139,0.818,1000
"age_moderation","11_to_19",11,19,"ACME_at_age1",0.000573156826515486,0.0138763118749898,-0.0327108168208084,0.0268465714114293,0.87,1000
"age_moderation","11_to_19",11,19,"ACME_avg",0.000573165758594546,0.0135552559153695,-0.0313621736343949,0.0258606404133149,0.826,1000
"age_moderation","11_to_19",11,19,"ADE_Ma0",0.232231455331504,0.122464310104028,0.0413536525868287,0.510533341775311,0.024,1000
"age_moderation","11_to_19",11,19,"ADE_Ma1",0.232231437467346,0.123307000221735,0.0409906914548951,0.513893268986454,0.022,1000
"age_moderation","11_to_19",11,19,"ADE_avg",0.232231446399425,0.122783576478068,0.0412285049753608,0.513335690670532,0.024,1000
"age_moderation","11_to_19",11,19,"Total_effect",0.232804612158019,0.122085677805522,0.0379316905953353,0.506924480729744,0.028,1000
"age_moderation","11_to_19",11,19,"Prop_med_avg",0.00246200345122674,1.77938672161861,-0.202268938839462,0.155502702607262,0.842,1000
